koi_period,koi_duration,koi_depth,koi_model_snr,koi_impact,koi_time0bk,koi_steff,koi_slogg,koi_srad,koi_smet,koi_kepmag,duty_cycle,rp_rs,koi_disposition
10.065.243.170,136.900,"1,05E+07",30.30,6.280,1.362.890.600,4077.00,4.702,5.600,-2.400,15.385,"0,0000005667192109","3,245458365",CONFIRMED
12.393.565.100,388.960,"9,17E+06",35.80,8.830,1.787.472.500,5557.00,4.603,7.500,-4.000,15.505,"0,000001307667853","3,027540256",CONFIRMED
43.844.397.210,680.200,"6,15E+06",83.70,8.520,1.519.353.800,5854.00,4.406,1.0120,-1.200,12.882,"0,0000006464147866","2,48032256",CONFIRMED
3.341.913.228,381.300,"7,25E+06",39.00,1.2130,1.716.394.300,5295.00,4.551,8.110,-200,15.629,"0,00000475401332","2,693139432",FALSE POSITIVE
1.626.630.225,211.450,"1,62E+07",103.60,1.2600,1.698.201.710,5735.00,4.410,9.730,-1.800,15.279,"0,000005416361095","4,025667646",FALSE POSITIVE
2.711.504.086,300.990,"8,38E+06",64.50,230,1.700.341.700,6214.00,4.442,1.0760,700,15.541,"0,00000462520048","2,893959226",CONFIRMED
7.212.037.480,404.910,"9,50E+06",51.50,120,1.728.178.200,6214.00,4.442,1.0760,700,15.541,"0,000002339318126","3,082855819",CONFIRMED
14.179.818.700,250.500,"4,60E+06",11.20,1.601,1.715.023.700,5799.00,4.539,8.780,-1.000,15.727,"0,0000007360813436","2,14452792",FALSE POSITIVE
8.472.379.110,272.450,"1,12E+07",47.60,220,1.741.621.200,5354.00,4.587,7.880,-800,15.339,"0,000001339893221","3,351865152",CONFIRMED
60.418.936.900,503.900,"9,31E+06",20.10,940,1.811.636.700,5354.00,4.587,7.880,-800,15.339,"0,0000003475041835","3,051720826",CONFIRMED
12.611.904.345,514.970,"6,11E+07",277.20,5.500,1.808.922.840,5795.00,4.508,9.190,-200,15.140,"0,000001701335718","7,813833886",CONFIRMED
1.433.769.925,188.680,"1,98E+07",112.60,1.2680,1.704.035.360,6017.00,4.220,1.3390,200,15.122,"0,00000548321354","4,445559582",FALSE POSITIVE
10.318.723.010,383.600,"8,72E+06",38.20,1.2150,1.733.154.300,5927.00,4.409,1.0600,700,15.065,"0,000001548964278","2,952456604",FALSE POSITIVE
2.539.183.147,242.820,"3,82E+06",38.90,2.380,1.696.749.400,5519.00,4.350,1.0620,1.400,15.026,"0,00000398454913","1,954737834",CONFIRMED
6.770.300.385,208.440,"1,30E+07",50.80,8.380,1.705.766.200,5653.00,4.656,6.790,-8.400,15.591,"0,000001282808665","3,611094017",CONFIRMED
444.291.966,207.920,"1,10E+08",299.70,1.2580,1.698.654.060,5255.00,4.678,6.360,-7.200,15.748,"0,00001949918971","10,47234453",FALSE POSITIVE
10.181.584.004,350.890,"5,74E+07",183.60,9.200,1.771.418.910,5988.00,4.541,8.360,-5.200,15.657,"0,000001435966806","7,577004685",CANDIDATE
20.060.363.360,332.030,"1,49E+07",35.20,5.560,1.474.655.400,3950.00,4.754,4.930,-4.600,15.954,"0,0000006896476941","3,866135021",CONFIRMED
46.184.203.900,475.800,"1,39E+07",26.00,130,1.652.372.900,3950.00,4.754,4.930,-4.600,15.954,"0,0000004292593208","3,734568248",CONFIRMED
23.980.085.400,535.100,"1,04E+06",17.10,9.500,1.475.370.000,5854.00,4.406,1.0120,-1.200,12.882,"0,0000009297645509","1,019803903",CONFIRMED
