koi_period,koi_duration,koi_depth,koi_model_snr,koi_impact,koi_time0bk,koi_steff,koi_slogg,koi_srad,koi_smet,koi_kepmag,duty_cycle,rp_rs,koi_disposition
19271538920,275940,12198000,37.10,310,1867709300,4077.00,4702,5600,-2400,15385,"0,0000005966051828","3,492563528",CONFIRMED
10065243170,136900,10533000,30.30,6280,1362890600,4077.00,4702,5600,-2400,15385,"0,0000005667192109","3,245458365",CONFIRMED
12393565100,388960,9166000,35.80,8830,1787472500,5557.00,4603,7500,-4000,15505,"0,000001307667853","3,027540256",CONFIRMED
43844397210,680200,6152000,83.70,8520,1519353800,5854.00,4406,-650130,-1200,12882,"0,0000006464147866","2,48032256",CONFIRMED
3341913228,381300,7253000,39.00,84008,1716394300,5295.00,4551,8110,-200,15629,"0,00000475401332","2,693139432",FALSE POSITIVE
1626630225,211450,16206000,103.60,255672,1698201710,5735.00,4410,9730,-1800,15279,"0,000005416361095","4,025667646",FALSE POSITIVE
2711504086,300990,8375000,64.50,230,1700341700,6214.00,4442,-416375,700,15541,"0,00000462520048","2,893959226",CONFIRMED
7212037480,404910,9504000,51.50,120,1728178200,6214.00,4442,-416375,700,15541,"0,000002339318126","3,082855819",CONFIRMED
14179818700,250500,4599000,11.20,1601,1715023700,5799.00,4539,8780,-1000,15727,"0,0000007360813436","2,14452792",FALSE POSITIVE
8472379110,272450,11235000,47.60,220,1741621200,5354.00,4587,7880,-800,15339,"0,000001339893221","3,351865152",CONFIRMED
60418936900,503900,9313000,45950,940,1811636700,5354.00,4587,7880,-800,15339,"0,0000003475041835","3,051720826",CONFIRMED
12611904345,514970,61056000,277.20,5500,1808922840,5795.00,4508,9190,-200,15140,"0,000001701335718","7,813833886",CONFIRMED
1433769925,188680,19763000,112.60,284891,1704035360,6017.00,4220,544214,200,15122,"0,00000548321354","4,445559582",FALSE POSITIVE
10318723010,383600,8717000,38.20,91313,1733154300,5927.00,4409,-474813,700,15065,"0,000001548964278","2,952456604",FALSE POSITIVE
2539183147,242820,3821000,38.90,2380,1696749400,5519.00,4350,-467509,1400,15026,"0,00000398454913","1,954737834",CONFIRMED
6770300385,208440,13040000,50.80,8380,1705766200,5653.00,4656,6790,-8400,15591,"0,000001282808665","3,611094017",CONFIRMED
444291966,207920,109670000,299.70,248367,1698654060,5255.00,4678,6360,-7200,15748,"0,00001949918971","10,47234453",FALSE POSITIVE
10181584004,350890,57411000,183.60,9200,1771418910,5988.00,4541,8360,-5200,15657,"0,000001435966806","7,577004685",CANDIDATE
20060363360,332030,14947000,35.20,5560,1474655400,3950.00,4754,4930,-4600,15954,"0,0000006896476941","3,866135021",CONFIRMED
46184203900,475800,13947000,26.00,130,1652372900,3950.00,4754,4930,-4600,15954,"0,0000004292593208","3,734568248",CONFIRMED
23980085400,535100,1040000,45947,9500,1475370000,5854.00,4406,-650130,-1200,12882,"0,0000009297645509","1,019803903",CONFIRMED
7825021680,218600,5208000,15.90,7080,1365499500,3950.00,4754,4930,-4600,15954,"0,000001164001035","2,282104292",CONFIRMED
3895936525,231110,85448000,370.80,5240,1705275520,5557.00,4592,7740,-3000,15725,"0,000002471699236","9,243808739",CONFIRMED
22366464660,522800,9868000,32.10,4000,1754586200,5395.00,4615,7340,-3400,15583,"0,0000009739283192","3,141337295",CONFIRMED
1625522174,238963,79690000,799.70,760,1708266564,5539.00,4322,-306802,1600,15001,"0,000006125288123","8,926925563",CONFIRMED
19620346923,200380,217250000,340.50,4580,1818818190,5710.00,4492,9050,-1000,15562,"0,0000004255361386","14,73940297",CANDIDATE
7544039000,622200,3226000,14.20,-54784,1717982000,5657.00,4567,8240,-1800,15559,"0,000003436488067","1,796106901",FALSE POSITIVE
9029306890,314490,10198000,53.90,240,1772042200,5349.00,4526,8200,-1200,15387,"0,000001451246498","3,193430757",CONFIRMED
10328035714,779150,169180000,636.80,2810,1745810540,5627.00,4359,-606301,-1000,15646,"0,000003143345379","13,00692123",FALSE POSITIVE
143206304700,893020,105660000,138.80,3790,1542355200,5485.00,4556,8670,2100,15403,"0,0000002598291098","10,27910502",CONFIRMED
6164876000,326200,558000,14.40,6460,1356391600,5854.00,4406,-650130,-1200,12882,"0,00000220469425","0,7469939759",CONFIRMED
60324942160,661880,202800000,347.20,2240,2438925780,5485.00,4556,8670,2100,15403,"0,0000004571630298","14,2407865",CONFIRMED
29159861500,480300,4880000,11.60,3619,1506992200,5485.00,4556,8670,2100,15403,"0,0000006863029854","2,209072203",CONFIRMED
1540397253,215410,8161000,38.80,127837,1705047900,5663.00,4530,9150,2100,15974,"0,000005826689608","2,856746401",FALSE POSITIVE
2990254430,541400,5892000,48.50,140,1719834000,4667.00,4578,7310,1000,15842,"0,000007543951146","2,427344228",FALSE POSITIVE
1594745374,196040,150440000,1009.30,5140,1706483505,5934.00,4491,8930,-3800,15530,"0,000005122029803","12,26539849",CONFIRMED
4783002698,233500,10087000,70.60,30,1705084340,5170.00,4574,8070,1800,15119,"0,000002034112728","3,176003778",CONFIRMED
20505889210,405950,21055000,78.50,2600,1814342800,4905.00,4544,7610,-400,15398,"0,0000008248646601","4,588572763",CONFIRMED
3340218842,191040,16326000,71.60,4660,1719790620,3950.00,4754,4930,-4600,15954,"0,00000238307739","4,040544518",CONFIRMED
2507089906,200670,13392000,64.90,237410,1710024550,5926.00,4506,9390,-400,15555,"0,000003335041946","3,659508164",FALSE POSITIVE
18649327280,440560,8936000,46.10,800,1747710000,5775.00,4405,-500380,1600,15386,"0,0000009843071759","2,989314303",CONFIRMED
4901449760,416540,1407000,50.60,5290,1386054800,5847.00,4191,774316,2600,12487,"0,000003540959141","1,186170308",CONFIRMED
9751921010,479300,4180000,28.50,9490,1387860800,5775.00,4405,-500380,1600,15386,"0,00000204788711","2,04450483",CONFIRMED
38557654600,579400,9930000,39.70,9110,1638506300,5775.00,4405,-500380,1600,15386,"0,0000006261186506","3,151190251",CONFIRMED
3525632539,259959,223350000,1996.70,1200,1700479951,5150.00,4572,7930,800,15224,"0,000003072250123","14,9448988",CONFIRMED
34843986440,293150,45236000,76.80,9340,1726332520,5509.00,4482,8710,-1600,15684,"0,0000003505506855","6,725771331",CANDIDATE
7748094239,359570,24721000,113.20,5170,1749972060,5973.00,4439,-383502,3600,15670,"0,000001933647536","4,972021722",CONFIRMED
23967936690,382700,11823000,27.50,4160,1862218200,3747.00,4728,5240,1000,15414,"0,0000006652985419","3,438458957",CONFIRMED
8295617380,134210,8243000,17.90,8880,1357928400,3747.00,4728,5240,1000,15414,"0,0000006741009231","2,871062521",CONFIRMED
8114374820,227360,15580000,56.40,5730,1763396800,3692.00,4753,5170,2800,15877,"0,000001167475442","3,947150871",CONFIRMED
38036729482,434617,828720000,1300.00,5010,1969349470,5575.00,4521,9320,3600,15472,"0,0000004760935526","28,78749729",FALSE POSITIVE
4640900310,3551200,24506000,296.90,328720,1736463800,6463.00,4500,8260,-16600,15270,"0,00003188318145","4,950353523",CANDIDATE
3747838198,506420,6160000,138.20,-252015,1716650400,5514.00,4569,8260,-400,13496,"0,000005630134552","2,481934729",FALSE POSITIVE
14749148250,609950,4302000,107.40,1730,1387779900,5847.00,4191,774316,2600,12487,"0,000001723122102","2,074126322",CONFIRMED
21812959960,437910,11754000,37.80,530,1740108500,5601.00,4410,9990,800,15540,"0,000000836486659","3,428410711",CONFIRMED
7919369370,331480,151480000,389.00,7330,1721810920,5690.00,4588,7760,-4000,15805,"0,000001744036175","12,30772115",FALSE POSITIVE
1028436523,186060,80980000,89.60,1400342,1702285820,6228.00,4428,9900,-4400,15202,"0,000007538141467","8,99888882",CANDIDATE
15375623690,331690,153370000,166.00,6920,1736140200,4986.00,4496,8330,1600,16422,"0,0000008988524268","12,38426421",CONFIRMED
8103632710,316100,8879000,39.30,470,1769486000,4861.00,4574,7320,-800,15289,"0,000001625299888","2,979765091",CONFIRMED
4715108430,250600,4175000,21.30,2580,1349617800,4861.00,4574,7320,-800,15289,"0,000002214512523","2,043281674",CONFIRMED
6365839713,297210,7807000,70.80,5240,1711357500,5776.00,4554,8490,-1800,15090,"0,0000019453443","2,794100929",CONFIRMED
5975817540,306500,9624000,50.30,9410,1747760200,6108.00,4471,9970,-800,15546,"0,000002137085553","3,102257243",FALSE POSITIVE
2446737317,472110,11779000,110.20,186276,1706695100,5764.00,4548,8630,-1200,15021,"0,000008039788278","3,432054778",FALSE POSITIVE
3040330460,184110,108590000,568.20,7360,1699490106,5035.00,4519,7910,-600,15028,"0,000002523163222","10,42065257",CONFIRMED
15335286750,389700,30814000,86.60,7730,1740027800,5251.00,4581,8170,2100,15855,"0,000001058832499","5,551035939",CONFIRMED
7958253280,437700,500000,14.70,7060,1378021900,5847.00,4191,774316,2600,12487,"0,000002291646088","0,7071067812",CONFIRMED
31330461350,517600,50738000,117.20,7980,1534303100,5251.00,4581,8170,2100,15855,"0,0000006883609668","7,12306114",CONFIRMED
3904342500,383100,162280000,323.40,7090,1733937340,5810.00,4526,8980,-600,15016,"0,000004088396446","12,73891675",FALSE POSITIVE
9286358079,349949,447910000,-83365,3770,1718214689,5670.00,4523,8210,-4000,15365,"0,000001570175112","21,16388433",FALSE POSITIVE
3951405455,218620,24539000,117.20,314110,1732761250,6046.00,4539,8690,-3800,15446,"0,000002305297892","4,953685497",FALSE POSITIVE
23653694150,821830,33418000,266.30,80,1713761070,5739.00,4191,708572,3000,15084,"0,000001447677325","5,78083039",CONFIRMED
13233522140,673720,5046000,49.10,140,1403219600,5739.00,4191,708572,3000,15084,"0,00000212125437","2,246330341",CONFIRMED
6155602850,498430,2850000,35.10,2350,1348165600,5739.00,4191,708572,3000,15084,"0,000003373823356","1,688194302",CONFIRMED
2090811305,338800,1159000,19.90,7460,1341746200,5739.00,4191,708572,3000,15084,"0,000006751765036","1,076568623",CONFIRMED
3180027898,357970,1203000,50.40,1960,1334986300,5847.00,4191,774316,2600,12487,"0,000004690341451","1,096813567",CONFIRMED
50446741700,715900,3703000,19.40,3790,1785014000,5739.00,4191,708572,3000,15084,"0,0000005913001645","1,924318061",CONFIRMED
11763071640,290760,10373000,48.90,480,1809361300,4959.00,4603,7560,1600,15208,"0,000001029918067","3,220714207",CONFIRMED
56227927100,357000,8627000,20.90,7000,1322925900,4959.00,4603,7560,1600,15208,"0,0000002645482551","2,937175514",CONFIRMED
2384052875,309180,12681000,50.50,-43827,1715836200,4794.00,4580,7010,-2200,15836,"0,000005403613374","3,561039174",FALSE POSITIVE
7953547000,263120,8754000,38.40,3000,1746622400,4768.00,4536,7790,1800,15660,"0,000001378420638","2,958715938",CONFIRMED
4144516560,234210,3918000,22.80,40,1359283100,4768.00,4536,7790,1800,15660,"0,000002354617205","1,979393847",CONFIRMED
4859386384,227570,60443000,269.70,252020,1730114690,6072.00,4470,9880,-1000,15311,"0,00000195129232","7,774509631",FALSE POSITIVE
10526294577,252110,97680000,482.30,6440,1765224620,5386.00,4553,7930,-2000,15305,"0,0000009979374277","9,88331928",CONFIRMED
4583520948,270550,38121000,99.50,450,1699739720,5815.00,4540,8770,-1200,15287,"0,000002459444779","6,174220599",CONFIRMED
3761818430,351760,5106000,35.90,9260,1719036400,5653.00,4472,9490,1000,15257,"0,000003896165362","2,25964599",CONFIRMED
8203969580,296670,10244000,54.40,8230,1696913800,5015.00,4499,8260,1000,15376,"0,000001506740107","3,200624939",CONFIRMED
14496451860,401600,6475000,25.70,9700,1434165900,5015.00,4499,8260,1000,15376,"0,000001154305446","2,54460213",CONFIRMED
6546261490,275000,6559000,24.80,6440,1338596400,5251.00,4581,8170,2100,15855,"0,000001750362913","2,56105447",CONFIRMED
12718098660,309570,11494000,52.70,4270,1753552600,4702.00,4592,6860,-2200,15389,"0,000001014204273","3,390280224",CONFIRMED
36065881630,432460,15638000,51.70,2600,1985842300,4702.00,4592,6860,-2200,15389,"0,0000004996180837","3,954491118",CONFIRMED
4190425659,285890,28774000,240.60,4580,1714412200,6073.00,4392,-200881,2000,15270,"0,000002842690529","5,364140192",CONFIRMED
3709870784,306940,20203000,116.10,230,1719879820,5727.00,4463,9780,1400,15581,"0,000003447334803","4,494774744",CONFIRMED
16329752700,627100,11875000,74.60,7910,1772950600,5878.00,4444,9870,-600,15447,"0,000001600095675","3,446012188",CONFIRMED
27807566216,421587,253910000,748.10,7820,1867135520,5862.00,4584,7850,-5200,15482,"0,0000006317030719","15,93455365",CONFIRMED
80872346900,1119500,36046000,160.90,5270,2038950000,5510.00,4222,175318,1600,15201,"0,0000005767834757","6,00383211",CONFIRMED
3166465862,293810,43572000,122.10,277586,1720026270,4968.00,4575,7040,-3600,15999,"0,000003866166214","6,600909028",FALSE POSITIVE
24993243190,594090,2696000,62.00,6860,1386816700,5718.00,4181,463860,0,12377,"0,0000009904176826","1,64195006",CONFIRMED
10355331160,317750,7506000,49.20,290,1709372900,5501.00,4462,9180,200,15018,"0,000001278528241","2,739708014",CONFIRMED
